customer_id,preference_id,valid_from,valid_to
1001,11,2024-10-31,
1001,5,2024-10-31,2026-01-12
1002,5,2025-06-27,2026-01-12
1002,3,2026-01-12,
1002,4,2025-06-27,2026-01-12
1002,3,2025-06-27,2026-01-12
1003,9,2025-06-22,
1003,2,2025-06-22,
1004,4,2025-06-22,
1004,6,2025-06-22,
1005,3,2025-05-10,
1005,2,2025-05-10,
1006,4,2025-01-23,
1006,3,2025-01-23,
1006,6,2025-01-23,
1008,9,2025-11-21,
1008,3,2025-11-21,
1009,11,2025-05-08,2026-01-12
1009,2,2026-01-12,
1010,11,2025-09-14,
1010,2,2025-09-14,
1011,1,2025-02-24,
1011,10,2025-02-24,
1011,2,2025-02-24,
1012,7,2025-03-15,
1013,6,2025-04-24,2026-01-12
1013,9,2026-01-12,
1014,7,2025-09-28,
1015,9,2024-12-24,
1015,10,2024-12-24,
1016,8,2025-10-24,2026-01-12
1016,1,2025-10-24,
1018,3,2025-10-23,
1020,3,2025-09-15,
1022,8,2025-06-12,
1024,3,2025-02-18,
1025,11,2025-01-07,
1025,5,2025-01-07,2026-01-12
1025,11,2026-01-12,
1025,7,2025-01-07,
1026,7,2025-03-30,
1026,3,2025-03-30,
1027,7,2025-05-15,
1027,5,2025-05-15,
1027,10,2025-05-15,
1028,7,2024-12-10,
1028,4,2024-12-10,
1028,1,2024-12-10,
1029,2,2025-03-28,
1029,1,2025-03-28,
1030,1,2025-05-02,
1031,4,2025-09-13,
1031,2,2025-09-13,
1032,5,2025-11-22,
1032,9,2025-11-22,2026-01-12
1032,7,2026-01-12,
1033,6,2024-12-27,
1033,1,2024-12-27,2026-01-12
1034,3,2025-07-09,2026-01-12
1036,9,2025-02-27,2026-01-12
1036,6,2026-01-12,
1037,8,2025-05-23,
1038,8,2025-03-29,2026-01-12
1038,10,2025-03-29,2026-01-12
1038,4,2026-01-12,
1039,3,2025-06-11,
1039,7,2025-06-11,
1041,1,2025-05-18,
1042,4,2025-07-25,2026-01-12
1044,6,2025-04-10,
1046,10,2025-05-16,2026-01-12
1046,2,2026-01-12,
1046,3,2025-05-16,
1047,2,2025-09-11,
1048,1,2024-12-20,2026-01-12
1048,4,2026-01-12,
1048,4,2024-12-20,2026-01-12
1050,6,2025-03-06,
1050,4,2025-03-06,
1051,11,2025-08-17,
1052,4,2025-03-27,
1052,1,2025-03-27,2026-01-12
1052,11,2026-01-12,
1053,6,2025-08-14,2026-01-12
1054,4,2024-11-29,
1055,4,2025-06-13,
1056,9,2025-03-26,
1057,5,2025-11-02,
1057,1,2025-11-02,2026-01-12
1057,7,2026-01-12,
1058,3,2025-03-04,
1059,2,2025-07-28,
1059,7,2025-07-28,
1060,5,2024-12-07,
1060,4,2024-12-07,
1061,2,2025-02-23,
1061,7,2025-02-23,
1061,9,2025-02-23,
1063,1,2025-08-14,
1064,7,2024-12-29,2026-01-12
1064,4,2026-01-12,
1065,5,2025-09-06,
1069,7,2025-09-04,
1069,10,2025-09-04,
1070,4,2025-08-29,
1070,8,2025-08-29,
1070,9,2025-08-29,
1071,4,2025-10-16,
1071,10,2025-10-16,
1072,3,2025-06-29,
1072,4,2025-06-29,
1074,9,2025-05-20,
1074,11,2025-05-20,2026-01-12
1074,7,2026-01-12,
1075,3,2025-03-04,2026-01-12
1075,4,2026-01-12,
1075,4,2025-03-04,2026-01-12
1075,8,2025-03-04,
1076,6,2025-09-11,
1076,7,2025-09-11,
1077,2,2025-03-27,
1077,8,2025-03-27,
1077,10,2025-03-27,
1078,8,2025-01-15,2026-01-12
1078,7,2026-01-12,
1079,9,2025-07-01,2026-01-12
1079,4,2025-07-01,
1079,3,2025-07-01,
1080,1,2025-10-17,2026-01-12
1081,11,2024-12-17,
1082,6,2024-11-04,
1084,8,2025-07-23,2026-01-12
1084,11,2026-01-12,
1084,3,2025-07-23,
1084,1,2025-07-23,
1086,8,2025-04-24,
1086,10,2025-04-24,
1087,7,2025-07-26,
1087,3,2025-07-26,2026-01-12
1088,11,2025-03-07,
1088,6,2025-03-07,
1088,5,2025-03-07,
1090,10,2025-06-14,
1091,7,2025-04-25,
1091,9,2025-04-25,
1091,1,2025-04-25,
1092,2,2025-11-20,
1092,6,2025-11-20,
1093,5,2025-05-10,
1094,11,2025-10-12,
1094,2,2025-10-12,2026-01-12
1094,10,2025-10-12,
1096,11,2025-04-19,
1097,1,2025-11-15,2026-01-12
1097,9,2025-11-15,2026-01-12
1099,7,2025-10-05,
1100,1,2025-10-29,2026-01-12
1100,11,2026-01-12,
1100,6,2025-10-29,
1101,10,2025-05-30,
1101,3,2025-05-30,
1102,9,2024-12-20,2026-01-12
1102,4,2026-01-12,
1102,2,2024-12-20,
