customer_id,brand_id,signup_date
1001,4,2024-10-31
1002,2,2025-06-27
1003,1,2025-06-22
1004,3,2025-06-22
1005,2,2025-05-10
1006,1,2025-01-23
1007,4,2024-12-25
1008,3,2025-11-21
1009,2,2025-05-08
1010,4,2025-09-14
1011,4,2025-02-24
1012,2,2025-03-15
1013,4,2025-04-24
1014,1,2025-09-28
1015,2,2024-12-24
1016,1,2025-10-24
1017,1,2025-08-01
1018,3,2025-10-23
1019,1,2025-10-02
1020,3,2025-09-15
1021,3,2025-07-28
1022,3,2025-06-12
1023,4,2025-04-26
1024,1,2025-02-18
1025,3,2025-01-07
1026,1,2025-03-30
1027,3,2025-05-15
1028,4,2024-12-10
1029,4,2025-03-28
1030,2,2025-05-02
1031,3,2025-09-13
1032,2,2025-11-22
1033,1,2024-12-27
1034,3,2025-07-09
1035,1,2025-04-19
1036,2,2025-02-27
1037,1,2025-05-23
1038,3,2025-03-29
1039,2,2025-06-11
1040,4,2025-02-19
1041,2,2025-05-18
1042,2,2025-07-25
1043,2,2025-11-23
1044,4,2025-04-10
1045,4,2025-10-15
1046,2,2025-05-16
1047,2,2025-09-11
1048,3,2024-12-20
1049,3,2025-10-13
1050,2,2025-03-06
1051,4,2025-08-17
1052,2,2025-03-27
1053,2,2025-08-14
1054,2,2024-11-29
1055,2,2025-06-13
1056,1,2025-03-26
1057,3,2025-11-02
1058,3,2025-03-04
1059,3,2025-07-28
1060,1,2024-12-07
1061,4,2025-02-23
1062,4,2025-02-01
1063,1,2025-08-14
1064,2,2024-12-29
1065,4,2025-09-06
1066,4,2025-03-04
1067,4,2025-01-10
1068,1,2025-01-16
1069,4,2025-09-04
1070,2,2025-08-29
1071,4,2025-10-16
1072,4,2025-06-29
1073,3,2025-08-05
1074,4,2025-05-20
1075,2,2025-03-04
1076,4,2025-09-11
1077,3,2025-03-27
1078,1,2025-01-15
1079,1,2025-07-01
1080,2,2025-10-17
1081,4,2024-12-17
1082,1,2024-11-04
1083,4,2025-07-31
1084,3,2025-07-23
1085,3,2025-03-21
1086,1,2025-04-24
1087,4,2025-07-26
1088,1,2025-03-07
1089,2,2025-11-21
1090,3,2025-06-14
1091,2,2025-04-25
1092,1,2025-11-20
1093,3,2025-05-10
1094,4,2025-10-12
1095,1,2025-09-28
1096,3,2025-04-19
1097,3,2025-11-15
1098,1,2025-05-11
1099,4,2025-10-05
1100,1,2025-10-29
1101,3,2025-05-30
1102,4,2024-12-20
1103,2,2025-09-13
1104,1,2025-09-07
1105,1,2025-10-22
1106,4,2025-02-03
1107,4,2025-01-04
1108,3,2025-09-30
1109,2,2025-04-07
1110,1,2024-12-15
1111,2,2024-12-26
1112,3,2025-08-20
1113,1,2025-09-24
1114,1,2024-12-21
1115,1,2025-06-21
1116,3,2024-11-10
1117,2,2025-11-08
1118,1,2025-02-20
1119,2,2025-08-26
1120,3,2025-06-29
1121,1,2025-05-23
1122,4,2025-10-25
1123,4,2025-07-26
1124,2,2024-12-10
1125,1,2025-09-09
1126,2,2025-06-17
1127,3,2024-11-13
1128,3,2025-03-17
1129,2,2025-01-09
1130,3,2025-07-25
1131,4,2024-12-07
1132,2,2025-04-24
1133,1,2025-05-15
1134,2,2024-12-09
1135,2,2025-07-07
1136,1,2024-12-10
1137,4,2025-10-25
1138,1,2025-11-15
1139,1,2025-04-07
1140,1,2025-01-31
1141,4,2025-05-12
1142,3,2024-11-28
1143,4,2025-03-30
1144,3,2025-07-06
1145,4,2025-04-26
1146,4,2024-12-04
1147,3,2025-04-06
1148,2,2025-01-28
1149,3,2025-10-19
1150,4,2025-06-29
1151,4,2025-02-07
1152,4,2025-08-30
1153,4,2025-01-12
1154,2,2025-03-14
1155,3,2024-10-27
1156,2,2025-04-01
1157,1,2025-11-11
1158,1,2025-06-16
1159,2,2025-09-08
1160,4,2025-11-02
1161,3,2025-03-21
1162,4,2024-11-23
1163,1,2025-02-14
1164,3,2025-11-15
1165,4,2025-08-02
1166,1,2025-08-28
1167,1,2025-03-19
1168,3,2025-01-08
1169,1,2025-10-25
1170,3,2025-09-14
1171,4,2025-02-04
1172,4,2025-05-02
1173,4,2024-10-31
1174,1,2025-11-09
1175,3,2025-02-21
1176,1,2025-08-18
1177,2,2024-11-21
1178,1,2025-07-04
1179,1,2025-07-11
1180,2,2025-08-07
1181,2,2025-01-03
1182,2,2024-12-31
1183,3,2024-11-06
1184,1,2025-07-06
1185,1,2025-09-01
1186,1,2025-07-12
1187,4,2025-10-27
1188,2,2025-05-16
1189,4,2025-07-26
1190,4,2025-03-06
1191,3,2025-07-01
1192,3,2025-04-28
1193,3,2025-05-29
1194,1,2025-04-03
1195,1,2025-06-26
1196,4,2025-06-21
1197,1,2025-03-04
1198,4,2025-09-19
1199,2,2025-08-24
1200,1,2025-05-24
1201,4,2025-01-24
1202,1,2025-01-31
1203,2,2025-11-16
1204,4,2025-10-06
1205,2,2025-06-16
1206,1,2024-10-27
1207,4,2025-04-24
1208,4,2025-08-07
1209,2,2025-02-18
1210,2,2025-01-07
1211,2,2025-05-18
1212,3,2024-10-28
1213,2,2024-12-27
1214,1,2025-01-31
1215,1,2025-04-22
1216,4,2025-11-01
1217,1,2025-07-06
1218,2,2025-07-16
1219,3,2025-09-21
1220,1,2025-02-12
