order_line_id,order_id,recipe_id,quantity,unit_price_inc_vat
900001,500001,103,2,79.42
900002,500001,102,2,64.2
900003,500001,105,4,71.1
900004,500001,107,2,74.16
900005,500002,105,4,59.75
900006,500002,103,4,54.31
900007,500002,108,2,68.7
900008,500003,110,4,58.91
900009,500003,109,2,68.19
900010,500003,103,4,65.09
900011,500003,108,4,77.62
900012,500003,102,2,55.74
900013,500004,103,2,72.22
900014,500004,109,2,57.14
900015,500004,102,4,56.18
900016,500004,101,4,72.78
900017,500004,105,2,92.71
900018,500005,108,2,77.37
900019,500005,107,2,63.92
900020,500005,109,2,60.2
900021,500006,103,2,92.76
900022,500006,105,2,92.37
900023,500006,107,4,71.7
900024,500007,105,4,56.66
900025,500007,108,4,68.95
900026,500007,104,4,61.45
900027,500007,102,2,91.45
900028,500007,109,4,79.64
900029,500008,102,4,67.03
900030,500008,110,2,94.54
900031,500008,109,2,74.26
900032,500009,101,4,58.73
900033,500009,105,4,77.33
900034,500009,110,2,55.23
900035,500009,106,2,91.07
900036,500009,108,2,73.0
900037,500010,106,4,65.93
900038,500010,102,2,83.72
900039,500010,108,4,81.82
900040,500010,103,4,78.08
900041,500010,101,2,94.36
900042,500011,104,4,76.77
900043,500011,102,4,62.24
900044,500011,110,4,77.42
900045,500012,106,4,71.05
900046,500012,102,4,51.38
900047,500012,105,2,57.81
900048,500013,103,4,74.05
900049,500013,105,2,62.16
900050,500013,107,2,80.6
900051,500014,108,4,75.2
900052,500014,103,2,73.02
900053,500014,101,2,57.48
900054,500015,109,4,81.21
900055,500015,106,2,88.17
900056,500015,107,2,80.84
900057,500015,102,2,55.37
900058,500015,101,4,78.55
900059,500016,104,4,55.85
900060,500016,101,2,66.99
900061,500016,102,2,94.99
900062,500017,103,2,85.83
900063,500017,110,2,76.46
900064,500017,101,4,71.8
900065,500017,109,4,55.88
900066,500017,105,2,81.54
900067,500018,103,2,90.07
900068,500018,101,4,66.22
900069,500018,102,2,73.31
900070,500018,104,2,56.31
900071,500018,105,4,83.01
900072,500019,108,2,91.27
900073,500019,105,2,87.23
900074,500019,101,2,59.79
900075,500019,104,4,72.57
900076,500019,110,2,69.52
