order_id,customer_id,menu_year,menu_week,order_date,delivery_date,status
500001,1001,2025,49,2025-11-22,2025-12-01,completed
500002,1002,2025,49,2025-11-23,2025-12-01,completed
500003,1003,2025,49,2025-11-24,2025-12-01,completed
500004,1004,2025,49,2025-11-24,2025-12-01,completed
500005,1008,2025,49,2025-11-24,2025-12-01,completed
500006,1009,2025,49,2025-11-24,2025-12-01,completed
500007,1010,2025,49,2025-11-22,2025-12-01,completed
500008,1011,2025,49,2025-11-25,2025-12-01,completed
500009,1013,2025,49,2025-11-24,2025-12-01,completed
500010,1014,2025,49,2025-11-25,2025-12-01,completed
500011,1015,2025,49,2025-11-24,2025-12-01,completed
500012,1016,2025,49,2025-11-22,2025-12-01,completed
500013,1017,2025,49,2025-11-24,2025-12-01,completed
500014,1018,2025,49,2025-11-25,2025-12-01,failed
500015,1020,2025,49,2025-11-22,2025-12-01,completed
500016,1022,2025,49,2025-11-22,2025-12-01,completed
500017,1024,2025,49,2025-11-22,2025-12-01,completed
500018,1025,2025,49,2025-11-24,2025-12-01,completed
500019,1026,2025,49,2025-11-24,2025-12-01,completed
500020,1027,2025,49,2025-11-25,2025-12-01,completed
500021,1029,2025,49,2025-11-24,2025-12-01,completed
500022,1030,2025,49,2025-11-24,2025-12-01,completed
500023,1031,2025,49,2025-11-22,2025-12-01,completed
500024,1032,2025,49,2025-11-23,2025-12-01,completed
500025,1033,2025,49,2025-11-23,2025-12-01,completed
500026,1034,2025,49,2025-11-23,2025-12-01,completed
500027,1036,2025,49,2025-11-24,2025-12-01,completed
500028,1037,2025,49,2025-11-22,2025-12-01,completed
500029,1039,2025,49,2025-11-22,2025-12-01,completed
500030,1040,2025,49,2025-11-23,2025-12-01,completed
500031,1041,2025,49,2025-11-23,2025-12-01,completed
500032,1043,2025,49,2025-11-25,2025-12-01,completed
500033,1044,2025,49,2025-11-22,2025-12-01,completed
500034,1047,2025,49,2025-11-22,2025-12-01,completed
500035,1048,2025,49,2025-11-25,2025-12-01,completed
500036,1050,2025,49,2025-11-24,2025-12-01,completed
500037,1051,2025,49,2025-11-22,2025-12-01,completed
500038,1052,2025,49,2025-11-25,2025-12-01,completed
500039,1053,2025,49,2025-11-23,2025-12-01,completed
500040,1055,2025,49,2025-11-25,2025-12-01,completed
500041,1056,2025,49,2025-11-23,2025-12-01,completed
500042,1058,2025,49,2025-11-24,2025-12-01,completed
500043,1060,2025,49,2025-11-25,2025-12-01,completed
500044,1062,2025,49,2025-11-23,2025-12-01,cancelled
500045,1064,2025,49,2025-11-24,2025-12-01,completed
500046,1065,2025,49,2025-11-22,2025-12-01,completed
500047,1067,2025,49,2025-11-23,2025-12-01,completed
500048,1068,2025,49,2025-11-25,2025-12-01,completed
500049,1069,2025,49,2025-11-22,2025-12-01,completed
500050,1070,2025,49,2025-11-24,2025-12-01,completed
500051,1071,2025,49,2025-11-25,2025-12-01,completed
500052,1073,2025,49,2025-11-25,2025-12-01,completed
500053,1074,2025,49,2025-11-25,2025-12-01,completed
500054,1078,2025,49,2025-11-24,2025-12-01,cancelled
500055,1079,2025,49,2025-11-22,2025-12-01,completed
500056,1080,2025,49,2025-11-22,2025-12-01,completed
500057,1082,2025,49,2025-11-25,2025-12-01,completed
500058,1083,2025,49,2025-11-24,2025-12-01,completed
500059,1086,2025,49,2025-11-24,2025-12-01,completed
500060,1087,2025,49,2025-11-23,2025-12-01,completed
500061,1088,2025,49,2025-11-25,2025-12-01,completed
500062,1091,2025,49,2025-11-22,2025-12-01,completed
500063,1094,2025,49,2025-11-22,2025-12-01,completed
500064,1095,2025,49,2025-11-25,2025-12-01,completed
500065,1096,2025,49,2025-11-25,2025-12-01,completed
500066,1097,2025,49,2025-11-25,2025-12-01,completed
500067,1098,2025,49,2025-11-22,2025-12-01,completed
500068,1099,2025,49,2025-11-22,2025-12-01,completed
500069,1100,2025,49,2025-11-23,2025-12-01,completed
500070,1102,2025,49,2025-11-24,2025-12-01,completed
500071,1103,2025,49,2025-11-23,2025-12-01,completed
500072,1104,2025,49,2025-11-22,2025-12-01,completed
500073,1107,2025,49,2025-11-22,2025-12-01,completed
500074,1109,2025,49,2025-11-23,2025-12-01,completed
500075,1110,2025,49,2025-11-24,2025-12-01,completed
500076,1114,2025,49,2025-11-23,2025-12-01,cancelled
500077,1116,2025,49,2025-11-22,2025-12-01,completed
500078,1117,2025,49,2025-11-25,2025-12-01,cancelled
500079,1118,2025,49,2025-11-24,2025-12-01,completed
500080,1120,2025,49,2025-11-23,2025-12-01,completed
500081,1122,2025,49,2025-11-24,2025-12-01,completed
500082,1124,2025,49,2025-11-25,2025-12-01,completed
500083,1127,2025,49,2025-11-25,2025-12-01,completed
500084,1128,2025,49,2025-11-23,2025-12-01,completed
500085,1129,2025,49,2025-11-22,2025-12-01,completed
500086,1130,2025,49,2025-11-25,2025-12-01,completed
500087,1132,2025,49,2025-11-25,2025-12-01,completed
500088,1134,2025,49,2025-11-24,2025-12-01,completed
500089,1135,2025,49,2025-11-24,2025-12-01,completed
500090,1137,2025,49,2025-11-24,2025-12-01,cancelled
500091,1138,2025,49,2025-11-22,2025-12-01,completed
500092,1139,2025,49,2025-11-23,2025-12-01,completed
500093,1140,2025,49,2025-11-25,2025-12-01,completed
500094,1144,2025,49,2025-11-25,2025-12-01,completed
500095,1145,2025,49,2025-11-24,2025-12-01,completed
500096,1146,2025,49,2025-11-22,2025-12-01,completed
500097,1147,2025,49,2025-11-24,2025-12-01,completed
500098,1149,2025,49,2025-11-22,2025-12-01,completed
500099,1150,2025,49,2025-11-24,2025-12-01,completed
500100,1151,2025,49,2025-11-24,2025-12-01,completed
500101,1154,2025,49,2025-11-24,2025-12-01,completed
500102,1155,2025,49,2025-11-24,2025-12-01,completed
500103,1157,2025,49,2025-11-22,2025-12-01,completed
500104,1158,2025,49,2025-11-23,2025-12-01,completed
500105,1161,2025,49,2025-11-24,2025-12-01,completed
500106,1162,2025,49,2025-11-22,2025-12-01,completed
500107,1163,2025,49,2025-11-23,2025-12-01,completed
500108,1164,2025,49,2025-11-25,2025-12-01,completed
500109,1166,2025,49,2025-11-22,2025-12-01,completed
500110,1167,2025,49,2025-11-22,2025-12-01,completed
500111,1168,2025,49,2025-11-22,2025-12-01,completed
500112,1170,2025,49,2025-11-24,2025-12-01,completed
500113,1171,2025,49,2025-11-22,2025-12-01,completed
500114,1172,2025,49,2025-11-24,2025-12-01,completed
500115,1173,2025,49,2025-11-24,2025-12-01,completed
500116,1174,2025,49,2025-11-24,2025-12-01,completed
500117,1175,2025,49,2025-11-25,2025-12-01,completed
500118,1176,2025,49,2025-11-23,2025-12-01,completed
500119,1177,2025,49,2025-11-25,2025-12-01,completed
500120,1178,2025,49,2025-11-22,2025-12-01,completed
500121,1180,2025,49,2025-11-24,2025-12-01,completed
500122,1182,2025,49,2025-11-23,2025-12-01,completed
500123,1183,2025,49,2025-11-25,2025-12-01,completed
500124,1184,2025,49,2025-11-22,2025-12-01,completed
500125,1185,2025,49,2025-11-24,2025-12-01,completed
500126,1186,2025,49,2025-11-24,2025-12-01,completed
500127,1191,2025,49,2025-11-22,2025-12-01,completed
500128,1193,2025,49,2025-11-22,2025-12-01,completed
500129,1196,2025,49,2025-11-22,2025-12-01,completed
500130,1197,2025,49,2025-11-23,2025-12-01,completed
500131,1198,2025,49,2025-11-23,2025-12-01,completed
500132,1200,2025,49,2025-11-23,2025-12-01,completed
500133,1201,2025,49,2025-11-23,2025-12-01,cancelled
500134,1202,2025,49,2025-11-22,2025-12-01,completed
500135,1205,2025,49,2025-11-23,2025-12-01,completed
500136,1206,2025,49,2025-11-25,2025-12-01,completed
500137,1209,2025,49,2025-11-25,2025-12-01,completed
500138,1212,2025,49,2025-11-25,2025-12-01,completed
500139,1213,2025,49,2025-11-24,2025-12-01,completed
500140,1214,2025,49,2025-11-23,2025-12-01,completed
500141,1217,2025,49,2025-11-23,2025-12-01,cancelled
500142,1219,2025,49,2025-11-24,2025-12-01,completed
500143,1001,2025,50,2025-11-30,2025-12-08,completed
500144,1002,2025,50,2025-12-01,2025-12-08,completed
500145,1003,2025,50,2025-12-01,2025-12-08,completed
500146,1006,2025,50,2025-11-29,2025-12-08,completed
500147,1007,2025,50,2025-12-01,2025-12-08,completed
500148,1008,2025,50,2025-11-30,2025-12-08,completed
500149,1010,2025,50,2025-12-02,2025-12-08,completed
500150,1011,2025,50,2025-11-29,2025-12-08,completed
500151,1012,2025,50,2025-12-02,2025-12-08,completed
500152,1014,2025,50,2025-12-01,2025-12-08,completed
500153,1016,2025,50,2025-11-30,2025-12-08,completed
500154,1021,2025,50,2025-11-29,2025-12-08,completed
500155,1022,2025,50,2025-12-02,2025-12-08,completed
500156,1024,2025,50,2025-11-29,2025-12-08,completed
500157,1025,2025,50,2025-12-02,2025-12-08,completed
500158,1026,2025,50,2025-12-02,2025-12-08,completed
500159,1028,2025,50,2025-12-02,2025-12-08,completed
500160,1029,2025,50,2025-12-01,2025-12-08,completed
500161,1031,2025,50,2025-12-01,2025-12-08,completed
500162,1032,2025,50,2025-12-01,2025-12-08,completed
500163,1033,2025,50,2025-12-01,2025-12-08,completed
500164,1035,2025,50,2025-12-01,2025-12-08,completed
500165,1037,2025,50,2025-11-29,2025-12-08,completed
500166,1038,2025,50,2025-11-30,2025-12-08,completed
500167,1040,2025,50,2025-11-29,2025-12-08,cancelled
500168,1042,2025,50,2025-11-30,2025-12-08,completed
500169,1044,2025,50,2025-11-29,2025-12-08,completed
500170,1046,2025,50,2025-11-29,2025-12-08,completed
500171,1048,2025,50,2025-12-02,2025-12-08,completed
500172,1050,2025,50,2025-11-29,2025-12-08,completed
500173,1051,2025,50,2025-12-02,2025-12-08,completed
500174,1052,2025,50,2025-11-30,2025-12-08,completed
500175,1053,2025,50,2025-11-30,2025-12-08,completed
500176,1055,2025,50,2025-12-02,2025-12-08,completed
